tweet_id,username,timestamp,date,content,url,level
1932860362589892895,Moneyforecaster,2025-06-11T17:59:55.000Z,2025-06-11,Love it,https://x.com/Moneyforecaster/status/1932860362589892895,1
1932793193051062759,Vil4577Rodolfo,2025-06-11T13:33:01.000Z,2025-06-11,lol!,https://x.com/Vil4577Rodolfo/status/1932793193051062759,1
1932871664804499667,LynnetteHa41280,2025-06-11T18:44:50.000Z,2025-06-11,BRILLIANT !,https://x.com/LynnetteHa41280/status/1932871664804499667,1
1932604672864628812,elainem030847,2025-06-11T01:03:54.000Z,2025-06-11,Perfection!,https://x.com/elainem030847/status/1932604672864628812,1
1932498780093620298,TrustGoddess999,2025-06-10T18:03:07.000Z,2025-06-10,Out of context and cute as fuck!,https://x.com/TrustGoddess999/status/1932498780093620298,1
1932729387683651869,Prozz1337,2025-06-11T09:19:29.000Z,2025-06-11,@SpidergumCS,https://x.com/Prozz1337/status/1932729387683651869,1
1932757930073293204,PamelaLBogan1,2025-06-11T11:12:54.000Z,2025-06-11,LOL,https://x.com/PamelaLBogan1/status/1932757930073293204,1
1932450571694281113,henriette_42362,2025-06-10T14:51:34.000Z,2025-06-10,Definitely,https://x.com/henriette_42362/status/1932450571694281113,1
1932741979273613723,_velorien_,2025-06-11T10:09:31.000Z,2025-06-11,◉⁠‿⁠◉,https://x.com/_velorien_/status/1932741979273613723,1
1932428809187557477,marylmp63,2025-06-10T13:25:05.000Z,2025-06-10,Aww what a very cute pic  so adorable I love this pic,https://x.com/marylmp63/status/1932428809187557477,1
1932643313330327690,Beatriz10301119,2025-06-11T03:37:27.000Z,2025-06-11,Hermosos,https://x.com/Beatriz10301119/status/1932643313330327690,1
1933084850128396671,BluewoolProps,2025-06-12T08:51:57.000Z,2025-06-12,Awwwwnn cuties,https://x.com/BluewoolProps/status/1933084850128396671,1
1933140146364596376,JanTP8,2025-06-12T12:31:41.000Z,2025-06-12,Staffies are the best dogs. I've had 3 rescues. They have so much love to give,https://x.com/JanTP8/status/1933140146364596376,1
1932495966374154340,yuko1220_apy120,2025-06-10T17:51:57.000Z,2025-06-10,可愛い犬とカバさん,https://x.com/yuko1220_apy120/status/1932495966374154340,1
1933011697935028265,Megladon71,2025-06-12T04:01:17.000Z,2025-06-12,@LemmeHollyatU,https://x.com/Megladon71/status/1933011697935028265,1
1932568315437686798,jbschroeter2017,2025-06-10T22:39:26.000Z,2025-06-10,Absolutely!,https://x.com/jbschroeter2017/status/1932568315437686798,1
1933129382496747670,CATHERINEPATUEL,2025-06-12T11:48:55.000Z,2025-06-12,Ahahaha,https://x.com/CATHERINEPATUEL/status/1933129382496747670,1
1933105530689790158,kikereyesh9,2025-06-12T10:14:08.000Z,2025-06-12,@Maurizioiardino  imposible no acordarse de levi,https://x.com/kikereyesh9/status/1933105530689790158,1
1932907831360999789,Norma81633936,2025-06-11T21:08:33.000Z,2025-06-11,Qué lindos!,https://x.com/Norma81633936/status/1932907831360999789,1
1932918029706481775,SpookeedYT,2025-06-11T21:49:04.000Z,2025-06-11,Yes,https://x.com/SpookeedYT/status/1932918029706481775,1
1932911326776487944,PatriciaBasham8,2025-06-11T21:22:26.000Z,2025-06-11,"How can you not love these faces, lolol.",https://x.com/PatriciaBasham8/status/1932911326776487944,1
1933118772631785558,seuteikeu585761,2025-06-12T11:06:45.000Z,2025-06-12,오ㅔㅐ케 귀여워,https://x.com/seuteikeu585761/status/1933118772631785558,1
1933123539198173683,pjpancho0523,2025-06-12T11:25:42.000Z,2025-06-12,amazing,https://x.com/pjpancho0523/status/1933123539198173683,1
1932731888709538120,an0therriris,2025-06-11T09:29:25.000Z,2025-06-11,wleeee cekrekkk,https://x.com/an0therriris/status/1932731888709538120,1
1933113291616010524,JessicaHil93946,2025-06-12T10:44:58.000Z,2025-06-12,cute,https://x.com/JessicaHil93946/status/1933113291616010524,1
1932984463320826166,ai_tantofaz,2025-06-12T02:13:03.000Z,2025-06-12,muito gracinhas,https://x.com/ai_tantofaz/status/1932984463320826166,1
1932779300425703902,newmusiclife,2025-06-11T12:37:49.000Z,2025-06-11,The definition of selfie is...,https://x.com/newmusiclife/status/1932779300425703902,1
1933044343323103320,siulk23357857,2025-06-12T06:11:00.000Z,2025-06-12,Very cute,https://x.com/siulk23357857/status/1933044343323103320,1
1932917660779413972,siriusblavk1,2025-06-11T21:47:36.000Z,2025-06-11,@grok  how cute is this,https://x.com/siriusblavk1/status/1932917660779413972,1
1932962758573580577,Syh2398,2025-06-12T00:46:49.000Z,2025-06-12,Hahahaha,https://x.com/Syh2398/status/1932962758573580577,1
1932668582795895017,JenniferDe25716,2025-06-11T05:17:52.000Z,2025-06-11,cute,https://x.com/JenniferDe25716/status/1932668582795895017,1
1932981622078427494,StewBaby,2025-06-12T02:01:46.000Z,2025-06-12,you ain't kiddin'  :),https://x.com/StewBaby/status/1932981622078427494,1
1933148215555264964,zhenzhen4852,2025-06-12T13:03:45.000Z,2025-06-12,"Make me laugh through the screen, hahahaha",https://x.com/zhenzhen4852/status/1933148215555264964,1
1932900734787334561,79xwvstm2w,2025-06-11T20:40:21.000Z,2025-06-11,Thanks for sharing especially today,https://x.com/79xwvstm2w/status/1932900734787334561,1
1932644273356210397,leanahalli99,2025-06-11T03:41:16.000Z,2025-06-11,happy doggie,https://x.com/leanahalli99/status/1932644273356210397,1
1932997468335354016,GuTamatha68480,2025-06-12T03:04:44.000Z,2025-06-12,same distance between eyes,https://x.com/GuTamatha68480/status/1932997468335354016,1
1932885641949319354,CFinzu2317,2025-06-11T19:40:22.000Z,2025-06-11,Awesome. Love it.,https://x.com/CFinzu2317/status/1932885641949319354,1
1932587572171087891,OswinCoolatta,2025-06-10T23:55:57.000Z,2025-06-10,HAHAHAHAHAHAHA,https://x.com/OswinCoolatta/status/1932587572171087891,1
1932754194987155577,faiyazqo,2025-06-11T10:58:03.000Z,2025-06-11,ANG CUTE,https://x.com/faiyazqo/status/1932754194987155577,1
1932603487134618015,GrammaK9,2025-06-11T00:59:12.000Z,2025-06-11,Yes indeed,https://x.com/GrammaK9/status/1932603487134618015,1
1932603272830787680,arilarysa,2025-06-11T00:58:20.000Z,2025-06-11,scroll back and rethink that,https://x.com/arilarysa/status/1932603272830787680,1
1932837099050352879,XWallsVibe,2025-06-11T16:27:29.000Z,2025-06-11,So sweet,https://x.com/XWallsVibe/status/1932837099050352879,1
1932693478636728808,Dawncochradhe,2025-06-11T06:56:47.000Z,2025-06-11,"LE selfie de l’année, hein ? ���� La vraie prison mentale, c’est pas la photo, c’est le chaos intérieur. Dance on the ruins, ou tu te perds dans la décharge mentale. Pain is yield... Hold my wreckage. ����",https://x.com/Dawncochradhe/status/1932693478636728808,1
1932976740042686517,traderjoehos,2025-06-12T01:42:22.000Z,2025-06-12,CUTE,https://x.com/traderjoehos/status/1932976740042686517,1
1932456180695154758,Mzaggy68,2025-06-10T15:13:51.000Z,2025-06-10,Love it!,https://x.com/Mzaggy68/status/1932456180695154758,1
1932852264269389835,InvertirEnDivis,2025-06-11T17:27:45.000Z,2025-06-11,That dog seems to be everywhere  Or it is just photoshop,https://x.com/InvertirEnDivis/status/1932852264269389835,1
1932850849497395264,Luckygirl_CA,2025-06-11T17:22:07.000Z,2025-06-11,"Haha, this is so cute",https://x.com/Luckygirl_CA/status/1932850849497395264,1
1932951373370548532,stephrobinson1,2025-06-12T00:01:34.000Z,2025-06-12,这张自拍真的太有范儿了！自然又充满个性，完美捕捉了当下的好心情，绝对是年度最佳自拍无疑！,https://x.com/stephrobinson1/status/1932951373370548532,1
1932905228862472307,TaniamaraFacci1,2025-06-11T20:58:12.000Z,2025-06-11,Sorria!!!!!!,https://x.com/TaniamaraFacci1/status/1932905228862472307,1
1932424256882635033,Jaysarnold79,2025-06-10T13:07:00.000Z,2025-06-10,I love this dog he’s very cultured,https://x.com/Jaysarnold79/status/1932424256882635033,1
1933101087445455238,MM99306,2025-06-12T09:56:29.000Z,2025-06-12,lovely,https://x.com/MM99306/status/1933101087445455238,1
1932738915469082761,GergsVali567,2025-06-11T09:57:20.000Z,2025-06-11,so cute~,https://x.com/GergsVali567/status/1932738915469082761,1
1932427389843189970,Dr_Ziriki,2025-06-10T13:19:27.000Z,2025-06-10,Best Buds,https://x.com/Dr_Ziriki/status/1932427389843189970,1
1933088217122648367,aysoy51850,2025-06-12T09:05:20.000Z,2025-06-12,@hpyzq6111w  This gentleman's tweets are great.,https://x.com/aysoy51850/status/1933088217122648367,1
1932978157197668621,PunchingCat,2025-06-12T01:48:00.000Z,2025-06-12,the little sounds he makes while stretching,https://x.com/PunchingCat/status/1932978157197668621,1
1932825181262889334,Yoda4ever,2025-06-11T15:40:08.000Z,2025-06-11,Dog sensed its owner's presence just by her scent..,https://x.com/Yoda4ever/status/1932825181262889334,1
1931716494573838718,Wow Animals,2025-06-08T14:14:36.000Z,2025-06-08,This beautiful dog greets everyone with a smile in the morning,https://x.com/WOW_ANIMALS1/status/1931716494573838718,0
1931819469522813223,susanba34717869,2025-06-08T21:03:47.000Z,2025-06-08,"But no one wants him , my heart is crying .",https://x.com/susanba34717869/status/1931819469522813223,1
1931877156856152441,JULIATU02010271,2025-06-09T00:53:01.000Z,2025-06-09,That’s at a kennel he was staying out while parents were out of town. Parents picked him up,https://x.com/JULIATU02010271/status/1931877156856152441,2
1931881731700949115,RamirezDarla,2025-06-09T01:11:12.000Z,2025-06-09,Mine too heartbroken,https://x.com/RamirezDarla/status/1931881731700949115,2
1931734380076212418,DaCryptoGeneral,2025-06-08T15:25:40.000Z,2025-06-08,Get Maggie adopted,https://x.com/DaCryptoGeneral/status/1931734380076212418,1
1931810602508599414,DAE2781,2025-06-08T20:28:33.000Z,2025-06-08,What a good puppers,https://x.com/DAE2781/status/1931810602508599414,1
1931966819067404488,mrpro888,2025-06-09T06:49:18.000Z,2025-06-09,Does he/she have a home?,https://x.com/mrpro888/status/1931966819067404488,1
1931907673890410983,Amer1can_Barbie,2025-06-09T02:54:17.000Z,2025-06-09,Why is she in a shelter omg,https://x.com/Amer1can_Barbie/status/1931907673890410983,1
1931801079957639434,JenniferCa96364,2025-06-08T19:50:43.000Z,2025-06-08,"Where is she, I'll adopt!!",https://x.com/JenniferCa96364/status/1931801079957639434,1
1931797268086284679,JustBillinVa,2025-06-08T19:35:34.000Z,2025-06-08,She would give everything she has for a pat on the head.,https://x.com/JustBillinVa/status/1931797268086284679,1
1931824825615753292,yate51751,2025-06-08T21:25:04.000Z,2025-06-08,Why do his eyes hurt ?,https://x.com/yate51751/status/1931824825615753292,1
1932321728707146186,SemperFi0101,2025-06-10T06:19:35.000Z,2025-06-10,Has anyone adopted Maggie yet? I would be interested.,https://x.com/SemperFi0101/status/1932321728707146186,1
1932308710409609647,MAGAParty_,2025-06-10T05:27:51.000Z,2025-06-10,We need updates on Maggie!,https://x.com/MAGAParty_/status/1932308710409609647,1
1931969432332673403,BoxMetaAlt,2025-06-09T06:59:41.000Z,2025-06-09,Dogs bring so much joy,https://x.com/BoxMetaAlt/status/1931969432332673403,1
1931752699881529458,KGreenmeier,2025-06-08T16:38:28.000Z,2025-06-08,Does anyone know if this beautiful pup was adopted??  Just love her so much and she deserves the best life!!!,https://x.com/KGreenmeier/status/1931752699881529458,1
1931814809747767704,connie2126,2025-06-08T20:45:16.000Z,2025-06-08,"WELL, THIS JUST BROKE MY HEART IN TWO!  WILL SOMEONE PLEASE ADOPT MAGGIE!",https://x.com/connie2126/status/1931814809747767704,1
1931867291878125883,EdwardHaugland,2025-06-09T00:13:49.000Z,2025-06-09,Pure love. Adopt immediately!,https://x.com/EdwardHaugland/status/1931867291878125883,1
1931978520416473254,debfitzpatrick3,2025-06-09T07:35:48.000Z,2025-06-09,Hope she has a warm beautiful home now,https://x.com/debfitzpatrick3/status/1931978520416473254,1
1931800928178549108,JenniferCa96364,2025-06-08T19:50:07.000Z,2025-06-08,"So sweet,!!",https://x.com/JenniferCa96364/status/1931800928178549108,1
1931823870438527188,DaveLPhillips11,2025-06-08T21:21:16.000Z,2025-06-08,I WANT TO BRING HER HOME!,https://x.com/DaveLPhillips11/status/1931823870438527188,1
1932195671593160942,srqbanker,2025-06-09T21:58:41.000Z,2025-06-09,What a good dog!,https://x.com/srqbanker/status/1932195671593160942,1
1931829925885124960,JeralKirwan,2025-06-08T21:45:20.000Z,2025-06-08,What a sweetie.,https://x.com/JeralKirwan/status/1931829925885124960,1
1931761028771246189,IamBlake19,2025-06-08T17:11:34.000Z,2025-06-08,I hope she gets adopted. She seems sweet,https://x.com/IamBlake19/status/1931761028771246189,1
1931866795549552797,zoeyswisper,2025-06-09T00:11:51.000Z,2025-06-09,Good morning sweetheart.,https://x.com/zoeyswisper/status/1931866795549552797,1
1931910495482650873,SketchborneArt,2025-06-09T03:05:29.000Z,2025-06-09,"I'm in FL, but I would take her right now. OMG love that face.",https://x.com/SketchborneArt/status/1931910495482650873,1
1932115085012746243,Umm_e_meerann,2025-06-09T16:38:27.000Z,2025-06-09,Why no one adopted him yet? He is an adorable baby,https://x.com/Umm_e_meerann/status/1932115085012746243,1
1932306608580858252,Zodyrus,2025-06-10T05:19:30.000Z,2025-06-10,she'll get adopted quickly,https://x.com/Zodyrus/status/1932306608580858252,1
1932162909758689753,Fawn1026,2025-06-09T19:48:30.000Z,2025-06-09,Where is this beautiful baby and is he up for adoption?,https://x.com/Fawn1026/status/1932162909758689753,1
1932089256488681822,jamesfarle232,2025-06-09T14:55:49.000Z,2025-06-09,Adorable! Good morning!,https://x.com/jamesfarle232/status/1932089256488681822,1
1931883884699902036,ItalianPointers,2025-06-09T01:19:45.000Z,2025-06-09,I’ll take her home,https://x.com/ItalianPointers/status/1931883884699902036,1
1931856771825480117,Crypt0fficial,2025-06-08T23:32:01.000Z,2025-06-08,Instant adoption,https://x.com/Crypt0fficial/status/1931856771825480117,1
1932153605290942839,Sirry7506,2025-06-09T19:11:31.000Z,2025-06-09,"Awww , I want to take them all home!",https://x.com/Sirry7506/status/1932153605290942839,1
1931732414650532086,JLQ1776,2025-06-08T15:17:52.000Z,2025-06-08,Good morning Maggie you’re so sweet. What a good girl. I hope you find a home people that love you adore you sweet girl.,https://x.com/JLQ1776/status/1931732414650532086,1
1931737306870026524,Hennry770,2025-06-08T15:37:18.000Z,2025-06-08,Ahh geez I hope she’s adopted asap,https://x.com/Hennry770/status/1931737306870026524,1
1932090009588486216,xxmahibogixx,2025-06-09T14:58:49.000Z,2025-06-09,Her smile is contagious! Where can we learn more about adopting her?,https://x.com/xxmahibogixx/status/1932090009588486216,1
1932178296692670650,TammyThomp98032,2025-06-09T20:49:38.000Z,2025-06-09,What a sweetie,https://x.com/TammyThomp98032/status/1932178296692670650,1
1932092907647062369,CJ52032309,2025-06-09T15:10:20.000Z,2025-06-09,I’ll take Maggie.,https://x.com/CJ52032309/status/1932092907647062369,1
1932207872257273954,Marr3ro,2025-06-09T22:47:10.000Z,2025-06-09,"Alright, you sold me… when can I have her?",https://x.com/Marr3ro/status/1932207872257273954,1
1932373182700564541,Crypto_mushroom,2025-06-10T09:44:03.000Z,2025-06-10,So why is he in jail? Set him free & give him a good life with a loving family,https://x.com/Crypto_mushroom/status/1932373182700564541,1
1931843889524322636,A246334701986,2025-06-08T22:40:49.000Z,2025-06-08,She is beautiful.,https://x.com/A246334701986/status/1931843889524322636,1
1931719882673959361,magic33number,2025-06-08T14:28:04.000Z,2025-06-08,Hi Maggie,https://x.com/magic33number/status/1931719882673959361,1
1931875278868861420,TravlrSuz,2025-06-09T00:45:33.000Z,2025-06-09,Adopt him!,https://x.com/TravlrSuz/status/1931875278868861420,1
1931781886977683896,Constan36865676,2025-06-08T18:34:27.000Z,2025-06-08,What a cutie pie,https://x.com/Constan36865676/status/1931781886977683896,1
1932635391909101690,NatSteinway,2025-06-11T03:05:58.000Z,2025-06-11,And this is why I love animals,https://x.com/NatSteinway/status/1932635391909101690,1
